customer_id,person_age,occupation_status,years_employed,person_income,Credit_Score,cb_person_cred_hist_length,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amnt,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status,Province,Latitude,Longitude,Risk_Segment,DTI_Ratio
CUST100000,40,Employed,17.2,25579,692,5.3,895,10820,0,0,0,Credit Card,Business,600,17.02,0.423,0.023,0.008,1,Ontario,44.069883893235705,-79.28626514789876,Tier 2 - Prime,0.023
CUST100001,33,Employed,7.3,43087,627,3.5,169,16550,0,1,0,Personal Loan,Home Improvement,53300,14.1,0.384,1.237,0.412,0,Saskatchewan,52.12662045246325,-106.63763402052332,Tier 3 - Near Prime,1.237
CUST100002,42,Student,1.1,20840,689,8.4,17,7852,0,0,0,Credit Card,Debt Consolidation,2100,18.33,0.377,0.101,0.034,1,British Columbia,48.91725873275862,-123.299455660476,Tier 2 - Prime,0.101
CUST100003,53,Student,0.5,29147,692,9.8,1480,11603,0,1,0,Credit Card,Business,2900,18.74,0.398,0.099,0.033,1,Quebec,45.78567014393211,-73.57544481052467,Tier 2 - Prime,0.099
CUST100004,32,Employed,12.5,63657,630,7.2,209,12424,0,0,0,Personal Loan,Education,99600,13.92,0.195,1.565,0.522,1,Ontario,43.55561376281995,-79.54508403746095,Tier 3 - Near Prime,1.565
CUST100005,32,Employed,13.4,32015,570,7.3,253,1120,0,0,2,Credit Card,Personal,37000,22.92,0.035,1.156,0.385,0,Ontario,43.766752980142996,-79.19368239742622,Tier 4 - Subprime,1.156
CUST100006,53,Employed,22.9,44989,674,11.1,19667,19298,0,0,0,Personal Loan,Home Improvement,45600,11.02,0.429,1.014,0.338,1,Ontario,43.181918348208725,-78.9811644192075,Tier 3 - Near Prime,1.014
CUST100007,44,Self-Employed,4.2,80603,625,18.5,830,38382,0,0,0,Credit Card,Personal,51700,19.42,0.476,0.641,0.214,1,Alberta,53.70400078741919,-113.14952667578962,Tier 3 - Near Prime,0.641
CUST100008,29,Employed,5.9,28416,569,2.6,1334,22668,1,2,0,Credit Card,Education,33800,22.72,0.798,1.189,0.396,0,Quebec,45.34996058673415,-73.75846909195361,Tier 4 - Subprime,1.189
CUST100009,41,Employed,7.0,70717,638,21.5,1578,21394,0,1,0,Credit Card,Personal,70000,19.35,0.303,0.99,0.33,1,British Columbia,49.08372769966219,-123.10939660738114,Tier 3 - Near Prime,0.99
